decimalLatitude,decimalLongitude,eventDate,species,label
37.335,10.918,2018-05-17T10:25:00+00:00,Green Sea Turtle,1
32.113,125.25,2007-05-28T14:58:46,Green Sea Turtle,1
27.941667,-80.087667,1999-08-19,Green Sea Turtle,1
35.8341,11.8411,2018-02-14T13:56:00+00:00,Green Sea Turtle,1
-28.94186,52.86717,2011-01-15T15:57:56,Green Sea Turtle,1
-21.987,113.945,2024-03-20T13:40:01Z,Green Sea Turtle,1
38.655007,-74.46364,2009-10-24T12:00:00,Green Sea Turtle,1
47.45,-40.78,1996-09-27,Green Sea Turtle,1
28.5,-111.5,2014-06-09T03:11:42/2015-09-02T06:47:23,Green Sea Turtle,1
-21.95,113.923,2024-01-31T15:10:58Z,Green Sea Turtle,1
40.556,-174.483,2011-09-22T06:27,Green Sea Turtle,1
-0.4028,52.13885,2010-12-11T20:53:51,Green Sea Turtle,1
36.8977,-1.0719,2018-10-26T03:59:00+00:00,Green Sea Turtle,1
35.524,18.597,2018-05-18T15:46:00+00:00,Green Sea Turtle,1
16.5,-88.5,2016-06-24T10:06:06/2025-08-24T17:15:37,Green Sea Turtle,1
38.294,14.969,2018-05-11T16:56:00+00:00,Green Sea Turtle,1
37.5,4.5,2016-10-26T15:22:33/2016-12-23T10:49:44,Green Sea Turtle,1
36.2658,11.9172,2018-03-08T07:47:00+00:00,Green Sea Turtle,1
-12.87585,51.13396,2010-12-18T14:21:36,Green Sea Turtle,1
33.114,-171.82,1997-06-25T20:12,Green Sea Turtle,1
35.39,-179.158,2012-04-30T09:20,Green Sea Turtle,1
39.740199,-73.390774,2009-09-23T12:00:00,Green Sea Turtle,1
34.571,145.16,2006-08-04T05:03:31,Green Sea Turtle,1
39.735,178.89,2010-11-02T08:21,Green Sea Turtle,1
42.488,177.047,2011-01-05T03:48,Green Sea Turtle,1
36.222,-171.832,2012-06-03T09:15,Green Sea Turtle,1
34.975,140.09,2007-09-30T14:58,Green Sea Turtle,1
11.257,-73.79,2018-04-29,Green Sea Turtle,1
36.5,-47.5,2011-10-17T08:16:41/2012-03-10T10:08:16,Green Sea Turtle,1
